B99NYPD,TK001,99123456789,12C,99123456789
ELDEN1,TK003,10548723695,1A,10548723695
LOSTJP,TK003,25845612374,2F,25845612374
BLOCKS,TK019,36985214753,15D,36985214753
PARKS1,TK020,45612378965,3A,45612378965
CAMELT,TK005,58247136985,5C,58247136985
CAFE69,TK005,65478932145,18B,65478932145
SEVRNC,TK001,74125896325,30E,74125896325
LAWYER,TK002,85236974158,4D,85236974158
GOTHAM,TK001,96325874125,1F,96325874125
VOUGHT,TK005,10258479635,22A,10258479635
SMILE1,TK011,21548796325,7B,21548796325
SHELBY,TK006,32659874158,1C,32659874158
META01,TK020,43761985236,2A,43761985236
KRYPTN,TK001,54872196347,15F,54872196347
XFORCE,TK016,65983214758,13C,65983214758
PANEM1,TK020,76194325869,9A,76194325869
BAND70,TK020,87215436971,6D,87215436971
WEB001,TK002,98326547182,25F,98326547182
VILLAN,TK005,19435678293,1B,19435678293
RISEUP,TK001,21987654321,5A,21987654321
DB7BC5,TK010,19923286343,4A,19923286343
B0CEFB,TK017,19923286343,3F,19923286343
42C0BA,TK020,44453455768,7A,19923286343
SB2F8Z,TK002,53589414437,15A,53589414437
4R93EM,TK001,58566436454,8C,58566436454
USL8N6,TK006,20044588164,5D,20044588164
RMEOLD,TK015,17147325057,10F,17147325057
I1X41F,TK011,53054485791,20A,53054485791
KPFKRO,TK015,10199882844,11B,10199882844
VZPTEM,TK009,59633950335,25B,59633950335
QJCWPG,TK014,53307661650,1B,53307661650
VH1ABF,TK016,26320655838,27C,26320655838
XRU70Q,TK023,28416841633,17C,28416841633
RA5KQY,TK009,20199462193,23D,20199462193
RGGNTQ,TK008,78711417649,4F,78711417649
HLN9XB,TK005,06285357982,24C,06285357982
LCD4KR,TK001,21917025712,26B,21917025712
N8CZ5K,TK001,83123093562,6D,83123093562
O0VQ19,TK010,56369472661,2F,56369472661
H0AHIV,TK017,95177339532,27A,95177339532
4VK4E1,TK021,26016867057,30B,26016867057
7PW1Q7,TK017,78904224126,11A,78904224126
4UE5S3,TK001,25098569742,13B,25098569742
R5P7QL,TK014,50717794157,16E,50717794157
QHSMSL,TK008,98068729275,4D,98068729275
OMAWWR,TK006,11738941365,21D,11738941365
DGYMLP,TK015,36951401159,11C,36951401159
C2WNV9,TK011,10918690089,30B,10918690089
NP1RY9,TK005,23917893221,19A,23917893221
8HHSQO,TK008,62608300093,2B,62608300093
58HH9J,TK023,46721197386,23A,46721197386
VDH4C7,TK002,37875985580,30C,37875985580
LCIOTR,TK004,17868546851,4C,17868546851
VQ8Z9O,TK025,83904979539,17D,83904979539
AKJPWA,TK024,78997254088,5C,78997254088
PZ3SP9,TK017,34677833047,21A,34677833047
A72FW1,TK013,80564580528,18C,80564580528
E8UDC9,TK001,71371948265,25E,71371948265
VURXFH,TK015,39243627565,3D,39243627565
YEV0VC,TK023,09341751054,9E,09341751054
DN1V4D,TK022,34389513132,6B,34389513132
QL4XYH,TK024,04207742144,10B,04207742144
T5ZT2J,TK021,14876182974,8A,14876182974
20ROJS,TK014,91413814897,4B,91413814897
JFP2FM,TK016,84724730653,1D,84724730653
OVUCAK,TK004,90031809315,14D,90031809315
SFBNOL,TK015,67195002114,18A,67195002114
HNAZ6O,TK020,95533328577,10C,95533328577
UOONM8,TK024,68996139925,13F,68996139925
F57RJ9,TK012,83510736544,27A,83510736544
FBWLFF,TK007,85099518846,4F,85099518846
OLAHCG,TK013,55393879781,26A,55393879781
U7RQOU,TK009,73412796305,15F,73412796305
5AMG9H,TK007,30692175586,12F,30692175586
